TIME,STD,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
03:09:39,IST,all,9.73,0,3.49,27.18,0,0.5,0,0,0,59.1
03:09:40,IST,all,11.62,0,2.02,19.7,0,0,0,0,0,66.67
03:09:41,IST,all,9.77,0,2.26,19.8,0,0.25,0,0,0,67.92
03:09:42,IST,all,27.68,0,3.49,17.96,0,0.25,0,0,0,50.62
03:09:43,IST,all,27.11,0,4.48,26.12,0,1,0,0,0,41.29
03:09:44,IST,all,31.92,0,4.99,3.49,0,0.25,0,0,0,59.35
03:09:45,IST,all,27.2,0,3.78,12.34,0,0,0,0,0,56.68
03:09:46,IST,all,5.56,0,1.26,16.67,0,0,0,0,0,76.52
03:09:47,IST,all,7.34,0,1.01,10.38,0,0,0,0,0,81.27
03:09:48,IST,all,14.29,0,4.08,0,0,0.26,0,0,0,81.38
03:09:49,IST,all,14.39,0,2.27,14.14,0,0.51,0,0,0,68.69
03:09:50,IST,all,14.58,0,3.07,6.91,0,0.51,0,0,0,74.94
03:09:51,IST,all,28.28,0,6.43,14.91,0,1.03,0,0,0,49.36
03:09:52,IST,all,36.25,0,9.77,3.08,0,1.03,0,0,0,49.87
03:09:53,IST,all,36.71,0,12.91,4.56,0,0.51,0,0,0,45.32
03:09:54,IST,all,32.07,0,6.31,1.52,0,0.51,0,0,0,59.6
03:09:55,IST,all,23.53,0,6.14,2.3,0,1.28,0,0,0,66.75
03:09:56,IST,all,22.67,0,7.05,2.27,0,0.25,0,0,0,67.76
03:09:57,IST,all,17.44,0,5.64,10,0,0.51,0,0,0,66.41
03:09:58,IST,all,17.13,0,6.3,0,0,0.5,0,0,0,76.07
03:09:59,IST,all,14.07,0,5.78,0,0,0.75,0,0,0,79.4
03:10:00,IST,all,14.5,0,7.12,1.02,0,0.51,0,0,0,76.84
03:10:01,IST,all,19.02,0,5.91,2.83,0,1.29,0,0,0,70.95
03:10:02,IST,all,20.45,0,8.33,0,0,1.01,0,0,0,70.2
03:10:03,IST,all,23.21,0,7.65,15.82,0,1.28,0,0,0,52.04
03:10:04,IST,all,17.44,0,4.87,26.41,0,1.28,0,0,0,50
03:10:05,IST,all,12.02,0,4.35,8.7,0,1.02,0,0,0,73.91
03:10:06,IST,all,12.89,0,3.87,7.73,0,0.77,0,0,0,74.74
03:10:07,IST,all,11.2,0,4.83,0,0,1.27,0,0,0,82.7
03:10:08,IST,all,19.55,0,7.02,13.03,0,0.5,0,0,0,59.9
03:10:09,IST,all,29.1,0,7.21,28.11,0,0.75,0,0,0,34.83
03:10:10,IST,all,22.94,0,9.48,37.91,0,0.5,0,0,0,29.18
03:10:11,IST,all,25.44,0,7.73,50.87,0,1.25,0,0,0,14.71
03:10:12,IST,all,18.53,0,6.6,51.02,0,0.51,0,0,0,23.35
03:10:13,IST,all,29.87,0,7.59,38.73,0,0.76,0,0,0,23.04
03:10:14,IST,all,21.75,0,6.25,0.75,0,0.75,0,0,0,70.5
03:10:15,IST,all,19.85,0,6.44,6.19,0,1.55,0,0,0,65.98
03:10:16,IST,all,21.07,0,6.09,0.76,0,0.76,0,0,0,71.32
03:10:17,IST,all,13.49,0,4.33,3.31,0,1.02,0,0,0,77.86
03:10:18,IST,all,12.53,0,4.86,0.26,0,1.28,0,0,0,81.07
03:10:19,IST,all,22.28,0,8.1,0,0,1.52,0,0,0,68.1
03:10:20,IST,all,22.47,0,5.81,12.88,0,1.01,0,0,0,57.83
03:10:21,IST,all,13.38,0,6.57,20.45,0,0.51,0,0,0,59.09
03:10:22,IST,all,14.07,0,6.78,0,0,0.75,0,0,0,78.39
03:10:23,IST,all,14.93,0,5.97,7.71,0,0.75,0,0,0,70.65
03:10:24,IST,all,18.48,0,5.82,29.37,0,0.51,0,0,0,45.82
03:10:25,IST,all,22.06,0,5.76,6.77,0,0.5,0,0,0,64.91
03:10:26,IST,all,29.62,0.25,5.06,32.66,0,1.27,0,0,0,31.14
03:10:27,IST,all,19.1,0.25,4.02,3.02,0,0.75,0,0,0,72.86
03:10:28,IST,all,19.95,0,6.57,1.26,0,0.51,0,0,0,71.72
03:10:29,IST,all,19.9,0,4.59,1.28,0,0.77,0,0,0,73.47
03:10:30,IST,all,22.92,0,6.05,3.53,0,0.76,0,0,0,66.75
03:10:31,IST,all,25.64,1.28,8.46,0,0,1.79,0,0,0,62.82
03:10:32,IST,all,27.37,0,8.44,1.53,0,0.51,0,0,0,62.15
03:10:33,IST,all,16.49,0,4.64,2.32,0,0.52,0,0,0,76.03
03:10:34,IST,all,16.12,0,5.04,5.04,0,0.5,0,0,0,73.3
03:10:35,IST,all,19.29,0.25,6.85,6.09,0,1.27,0,0,0,66.24
03:10:36,IST,all,31.06,0,7.07,22.22,0,0.76,0,0,0,38.89
03:10:37,IST,all,40.49,0.49,6.67,12.35,0,1.23,0,0,0,38.77
03:10:38,IST,all,28.1,0,5.32,1.01,0,0.76,0,0,0,64.81
03:10:39,IST,all,28.75,0,5.65,2.95,0,0.74,0,0,0,61.92
03:10:40,IST,all,29.97,0,4.53,10.83,0,1.01,0,0,0,53.65
03:10:41,IST,all,15.74,0,5.58,1.02,0,1.02,0,0,0,76.65
03:10:42,IST,all,23.54,0,5.32,1.77,0,1.01,0,0,0,68.35
03:10:43,IST,all,28.46,0,7.57,1.04,0,1.57,0,0,0,61.36
03:10:44,IST,all,35.7,0,10.63,0,0,1.27,0,0,0,52.41
03:10:45,IST,all,16.96,0,6.33,1.27,0,1.01,0,0,0,74.43
03:10:46,IST,all,20.87,0,3.31,0.51,0,0.76,0,0,0,74.55
03:10:47,IST,all,8.12,0,2.54,14.72,0,0.25,0,0,0,74.37
03:10:48,IST,all,4.55,0,1.52,0,0,0.25,0,0,0,93.69
03:10:49,IST,all,1.75,0,1.25,0,0,0,0,0,0,97.01
03:10:50,IST,all,1.26,0,0.25,0.25,0,0.25,0,0,0,97.99
03:10:51,IST,all,2.51,0,1.76,0.25,0,0,0,0,0,95.48
03:10:52,IST,all,2.26,0,1.25,0.25,0,0.25,0,0,0,95.99
03:10:53,IST,all,2.8,0,0.76,1.02,0,0,0,0,0,95.42
03:10:54,IST,all,5.25,0,1.5,2.5,0,0,0,0,0,90.75
03:10:55,IST,all,4.52,0,1.51,0,0,0.25,0,0,0,93.72
03:10:56,IST,all,1.76,0,0.75,3.02,0,0,0,0,0,94.47
03:10:57,IST,all,2.26,0,1.01,12.56,0,0,0,0,0,84.17
03:10:58,IST,all,1.75,0,1.25,9.5,0,0,0,0,0,87.5
03:10:59,IST,all,1.5,0,1,8,0,0,0,0,0,89.5
03:11:00,IST,all,1.78,0,0.76,9.9,0,0,0,0,0,87.56
03:11:01,IST,all,0.99,0,0.74,0,0,0.25,0,0,0,98.01
03:11:02,IST,all,0.75,0,0.5,0.25,0,0,0,0,0,98.51
03:11:03,IST,all,26.67,0,6.41,4.36,0,1.28,0,0,0,61.28
03:11:04,IST,all,40.45,0,10.55,1.01,0,1.26,0,0,0,46.73
03:11:05,IST,all,26.52,0,8.84,0,0,0.51,0,0,0,64.14
03:11:06,IST,all,25.13,0,6.78,5.78,0,0.75,0,0,0,61.56
03:11:07,IST,all,19.5,0,4.25,0.75,0,0.25,0,0,0,75.25
03:11:08,IST,all,12.15,0,3.54,0,0,0.25,0,0,0,84.05
03:11:09,IST,all,3.47,0,2.23,0,0,0.5,0,0,0,93.8
03:11:10,IST,all,15.46,0,4.99,0,0,0.25,0,0,0,79.3
03:11:11,IST,all,13.82,0,5.03,0,0,0.5,0,0,0,80.65
03:11:12,IST,all,22.59,0,6.09,16.5,0,0.51,0,0,0,54.31
03:11:13,IST,all,27.27,0,6.06,0.25,0,1.01,0,0,0,65.4
03:11:14,IST,all,28.35,0,6.33,1.01,0,0.25,0,0,0,64.05
03:11:15,IST,all,13.23,0,4.33,1.27,0,0.76,0,0,0,80.41
03:11:16,IST,all,29.59,0.26,6.63,6.89,0,0.77,0,0,0,55.87
03:11:17,IST,all,34.76,0,5.29,11.59,0,1.01,0,0,0,47.36
03:11:18,IST,all,13.92,0.25,4.3,0,0,1.27,0,0,0,80.25
03:11:19,IST,all,24.69,0,7.3,5.04,0,1.01,0,0,0,61.96
03:11:20,IST,all,33.5,0.5,5.71,0,0,0.74,0,0,0,59.55
03:11:21,IST,all,21.61,0,6.28,1.26,0,0.5,0,0,0,70.35
03:11:22,IST,all,25.06,0.25,4.76,6.02,0,0.5,0,0,0,63.41
03:11:23,IST,all,14.46,0,6.48,0,0,0.75,0,0,0,78.3
03:11:24,IST,all,16.97,0,5.66,0,0,0.51,0,0,0,76.86
03:11:25,IST,all,39.95,0.25,6.11,3.31,0,1.02,0,0,0,49.36
03:11:26,IST,all,29.65,0,4.77,0,0,1.26,0,0,0,64.32
03:11:27,IST,all,18.21,0,3.59,9.49,0,0.77,0,0,0,67.95
03:11:28,IST,all,11.11,0,2.84,0,0,1.03,0,0,0,85.01
03:11:29,IST,all,15.74,0,5.08,15.23,0,1.02,0,0,0,62.94
03:11:30,IST,all,18.93,0.26,3.07,25.06,0,1.02,0,0,0,51.66
03:11:31,IST,all,11.65,0,3.8,0.25,0,0.25,0,0,0,84.05
03:11:32,IST,all,4.79,0,2.27,0.25,0,0,0,0,0,92.7
03:11:33,IST,all,2.51,0,2.01,0,0,0.25,0,0,0,95.23
03:11:34,IST,all,7.3,0,2.02,7.05,0,0,0,0,0,83.63
03:11:35,IST,all,2.01,0,1.01,2.51,0,0,0,0,0,94.47
03:11:36,IST,all,1.51,0,0.76,0,0,0,0,0,0,97.73
03:11:37,IST,all,3.52,0,0.75,2.01,0,0,0,0,0,93.72
03:11:38,IST,all,22.19,0,4.34,0,0,1.02,0,0,0,72.45
03:11:39,IST,all,31.79,0,6.67,1.79,0,0.77,0,0,0,58.97
03:11:40,IST,all,13.89,0,4.55,0.51,0,0.76,0,0,0,80.3
03:11:41,IST,all,14.32,0,4.52,4.02,0,0.5,0,0,0,76.63
03:11:42,IST,all,11.7,0,5.09,0,0,1.27,0,0,0,81.93
03:11:43,IST,all,20.66,0,6.63,0.51,0,0.77,0,0,0,71.43
03:11:44,IST,all,14.43,0,3.8,0,0,0.25,0,0,0,81.52
03:11:45,IST,all,8.91,0,1.27,0,0,0.51,0,0,0,89.31
03:11:46,IST,all,4.28,0,1.26,3.27,0,0,0,0,0,91.18
03:11:47,IST,all,1.76,0,0.5,0,0,0.25,0,0,0,97.48
03:11:48,IST,all,2.23,0,1.74,0,0,0,0,0,0,96.03
03:11:49,IST,all,1.5,0,0.75,2.99,0,0.25,0,0,0,94.51
03:11:50,IST,all,0.51,0,0.51,0,0,0,0,0,0,98.99
03:11:51,IST,all,0.75,0,1.01,2.51,0,0,0,0,0,95.73
03:11:52,IST,all,4.02,0,1.01,0,0,0,0,0,0,94.97
03:11:53,IST,all,13.04,0,3.58,4.6,0,0.51,0,0,0,78.26
03:11:54,IST,all,12.06,0,6.03,0,0,1.01,0,0,0,80.9
03:11:55,IST,all,12.59,0,5.54,0,0,0.5,0,0,0,81.36
03:11:56,IST,all,22.59,0.25,6.09,3.55,0,0.25,0,0,0,67.26
03:11:57,IST,all,17.09,0,6.38,7.65,0,1.02,0,0,0,67.86
03:11:58,IST,all,13.44,0,4.65,4.13,0,0.78,0,0,0,77
03:11:59,IST,all,19.85,0,5.93,0,0,1.55,0,0,0,72.68
