TIME,STD,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
10:29:22,IST,all,24.69,0,11.59,46.1,0,0.25,0,0,0,17.38
10:29:23,IST,all,54.61,0,11.97,24.44,0,0,0,0,0,8.98
10:29:24,IST,all,32.07,0,7.83,44.44,0,0.76,0,0,0,14.9
10:29:25,IST,all,28.93,0,10.91,36.55,0,0.51,0,0,0,23.1
10:29:26,IST,all,26.88,0,6.53,40.7,0,0.5,0,0,0,25.38
10:29:27,IST,all,31.94,0,6.81,59.16,0,0.26,0,0,0,1.83
10:29:28,IST,all,31.65,0,8.61,52.41,0,0.76,0,0,0,6.58
10:29:29,IST,all,33.33,0,8.27,29.72,0,0.52,0,0,0,28.17
10:29:30,IST,all,40.91,0,12.63,16.67,0,1.52,0,0,0,28.28
10:29:31,IST,all,50.86,0,6.91,18.52,0,0.99,0,0,0,22.72
10:29:32,IST,all,45.68,0,3.95,36.3,0,2.47,0,0,0,11.6
10:29:33,IST,all,30.69,0,2.97,43.81,0,1.98,0,0,0,20.54
10:29:34,IST,all,23.13,0,3.23,64.43,0,1.49,0,0,0,7.71
10:29:35,IST,all,22.11,0,3.77,70.6,0,1.01,0,0,0,2.51
10:29:36,IST,all,19.65,0,4.53,60.71,0,1.76,0,0,0,13.35
10:29:37,IST,all,22.49,0,3.42,58.44,0,2.69,0,0,0,12.96
10:29:38,IST,all,24.62,0,5.03,54.52,0,0.75,0,0,0,15.08
10:29:39,IST,all,28.89,0,5.43,45.43,0,1.23,0,0,0,19.01
10:29:40,IST,all,28.11,0,4.73,51.99,0,1.49,0,0,0,13.68
10:29:41,IST,all,28.21,0,5.54,47.1,0,0.76,0,0,0,18.39
10:29:42,IST,all,44.11,0,4.76,35.84,0,0.75,0,0,0,14.54
10:29:43,IST,all,43.21,0,12.35,22.96,0,0.49,0,0,0,20.99
10:29:44,IST,all,27.96,0,8.31,59.19,0,0.25,0,0,0,4.28
10:29:45,IST,all,37.84,0.5,12.78,47.62,0,0.5,0,0,0,0.75
10:29:46,IST,all,30.62,0,6.91,56.3,0,0.74,0,0,0,5.43
10:29:47,IST,all,36.48,0,10.2,53.06,0,0.26,0,0,0,0
10:29:48,IST,all,30.12,0,8.15,47.41,0,2.22,0,0,0,12.1
10:29:49,IST,all,34.32,0,7.41,37.53,0,0.74,0,0,0,20
10:29:50,IST,all,16.5,0,6.09,31.73,0,0.76,0,0,0,44.92
10:29:51,IST,all,15.23,0,5.58,39.85,0,1.52,0,0,0,37.82
10:29:52,IST,all,36.11,1.52,7.07,9.85,0,0.76,0,0,0,44.7
10:29:53,IST,all,19.05,0,6.77,1.5,0,1.25,0,0,0,71.43
10:29:54,IST,all,11.45,0,4.58,21.12,0,0,0,0,0,62.85
10:29:55,IST,all,16.03,0,3.82,23.92,0,1.02,0,0,0,55.22
10:29:56,IST,all,18.14,0,5.04,31.99,0,1.51,0,0,0,43.32
10:29:57,IST,all,19.85,0,5.85,66.92,0,1.02,0,0,0,6.36
10:29:58,IST,all,37.34,0,8.02,26.07,0,1.5,0,0,0,27.07
10:29:59,IST,all,26.52,0,11.11,11.11,0,0,0,0,0,51.26
10:30:00,IST,all,8.29,0,2.01,22.61,0,0.25,0,0,0,66.83
